id,name,input,compiler,threads,real,usr,sys,cores
64,ferret,simlarge,gcc-pthreads,1,0m3.010s,0m6.304s,0m0.138s,12
65,ferret,native,gcc-pthreads,1,5m4.155s,6m38.846,0m2.720s,12
66,ferret,simdev,gcc-pthreads,1,0m0.026s,0m0.029s,0m0.008s,13
67,ferret,simsmall,gcc-pthreads,1,0m0.256s,0m0.337s,0m0.015s,13
68,ferret,simmedium,gcc-pthreads,1,0m0.773s,0m1.205s,0m0.050s,13
69,ferret,simlarge,gcc-pthreads,1,0m3.255s,0m7.151s,0m0.153s,13
70,ferret,native,gcc-pthreads,1,4m47.327,6m19.827,0m2.186s,13
71,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.030s,0m0.003s,14
72,ferret,simsmall,gcc-pthreads,1,0m0.283s,0m0.369s,0m0.014s,14
73,ferret,simmedium,gcc-pthreads,1,0m0.771s,0m1.278s,0m0.052s,14
74,ferret,simlarge,gcc-pthreads,1,0m3.168s,0m6.957s,0m0.143s,14
75,ferret,native,gcc-pthreads,1,4m53.581,6m29.881,0m2.334s,14
76,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.025s,0m0.008s,15
77,ferret,simsmall,gcc-pthreads,1,0m0.262s,0m0.350s,0m0.014s,15
78,ferret,simmedium,gcc-pthreads,1,0m0.762s,0m1.255s,0m0.043s,15
79,ferret,simlarge,gcc-pthreads,1,0m3.233s,0m6.615s,0m0.155s,15
80,ferret,native,gcc-pthreads,1,5m7.903s,6m41.115,0m2.078s,15
81,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.028s,0m0.008s,16
82,ferret,simsmall,gcc-pthreads,1,0m0.263s,0m0.337s,0m0.022s,16
83,ferret,simmedium,gcc-pthreads,1,0m0.734s,0m1.198s,0m0.045s,16
84,ferret,simlarge,gcc-pthreads,1,0m3.296s,0m7.129s,0m0.170s,16
85,ferret,native,gcc-pthreads,1,4m55.667,6m27.514,0m2.629s,16
86,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.029s,0m0.005s,17
87,ferret,simsmall,gcc-pthreads,1,0m0.260s,0m0.342s,0m0.013s,17
88,ferret,simmedium,gcc-pthreads,1,0m0.756s,0m1.232s,0m0.049s,17
89,ferret,simlarge,gcc-pthreads,1,0m3.019s,0m6.288s,0m0.143s,17
90,ferret,native,gcc-pthreads,1,4m55.662,6m33.791,0m2.984s,17
91,ferret,simdev,gcc-pthreads,1,0m0.032s,0m0.028s,0m0.010s,18
92,ferret,simsmall,gcc-pthreads,1,0m0.277s,0m0.360s,0m0.019s,18
93,ferret,simmedium,gcc-pthreads,1,0m0.792s,0m1.322s,0m0.044s,18
94,ferret,simlarge,gcc-pthreads,1,0m3.105s,0m6.296s,0m0.152s,18
95,ferret,native,gcc-pthreads,1,5m4.388s,6m45.131,0m2.044s,18
96,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.027s,0m0.007s,19
97,ferret,simsmall,gcc-pthreads,1,0m0.286s,0m0.372s,0m0.017s,19
98,ferret,simmedium,gcc-pthreads,1,0m0.750s,0m1.267s,0m0.042s,19
99,ferret,simlarge,gcc-pthreads,1,0m3.084s,0m6.389s,0m0.157s,19
100,ferret,native,gcc-pthreads,1,4m43.832,6m21.990,0m2.393s,19
101,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.029s,0m0.004s,20
102,ferret,simsmall,gcc-pthreads,1,0m0.259s,0m0.340s,0m0.015s,20
103,ferret,simmedium,gcc-pthreads,1,0m0.736s,0m1.203s,0m0.051s,20
104,ferret,simlarge,gcc-pthreads,1,0m3.194s,0m6.873s,0m0.140s,20
105,ferret,native,gcc-pthreads,1,5m4.324s,6m48.235,0m1.980s,20
106,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.028s,0m0.005s,21
107,ferret,simsmall,gcc-pthreads,1,0m0.271s,0m0.350s,0m0.016s,21
108,ferret,simmedium,gcc-pthreads,1,0m0.737s,0m1.251s,0m0.040s,21
109,ferret,simlarge,gcc-pthreads,1,0m3.039s,0m6.230s,0m0.165s,21
110,ferret,native,gcc-pthreads,1,4m45.857,6m27.169,0m2.679s,21
111,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.027s,0m0.006s,22
112,ferret,simsmall,gcc-pthreads,1,0m0.270s,0m0.349s,0m0.019s,22
113,ferret,simmedium,gcc-pthreads,1,0m0.768s,0m1.263s,0m0.054s,22
114,ferret,simlarge,gcc-pthreads,1,0m2.990s,0m6.391s,0m0.103s,22
115,ferret,native,gcc-pthreads,1,4m47.562,6m26.250,0m2.938s,22
116,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.026s,0m0.008s,23
117,ferret,simsmall,gcc-pthreads,1,0m0.266s,0m0.344s,0m0.021s,23
118,ferret,simmedium,gcc-pthreads,1,0m0.718s,0m1.222s,0m0.041s,23
119,ferret,simlarge,gcc-pthreads,1,0m3.038s,0m6.298s,0m0.123s,23
120,ferret,native,gcc-pthreads,1,4m45.839,6m20.342,0m2.632s,23
121,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.030s,0m0.003s,24
122,ferret,simsmall,gcc-pthreads,1,0m0.258s,0m0.343s,0m0.014s,24
123,ferret,simmedium,gcc-pthreads,1,0m0.751s,0m1.252s,0m0.056s,24
124,ferret,simlarge,gcc-pthreads,1,0m3.094s,0m6.530s,0m0.140s,24
125,ferret,native,gcc-pthreads,1,4m47.489,6m16.474,0m3.130s,24
126,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.029s,0m0.004s,25
127,ferret,simsmall,gcc-pthreads,1,0m0.250s,0m0.327s,0m0.015s,25
128,ferret,simmedium,gcc-pthreads,1,0m0.747s,0m1.214s,0m0.052s,25
129,ferret,simlarge,gcc-pthreads,1,0m3.134s,0m6.725s,0m0.118s,25
130,ferret,native,gcc-pthreads,1,4m53.017,6m45.972,0m2.081s,25
131,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.028s,0m0.005s,26
